archivo,pid,cond,expr,estrato,edad,edad_dt,real,masc,feliz,triste,enfadado,majo,rico,rating_propio
B_B_15_A_001.png,BB15A001,subsahariano,A,afligido,11.8636363636364,1.52113536999598,5.63636363636364,6.63636363636364,1.36363636363636,3.09090909090909,5.40909090909091,2.54545454545455,3.27272727272727,6.95454545454545
B_B_15_A_003.png,BB15A003,subsahariano,A,afligido,15.7826086956522,2.39234616184673,5.39130434782609,6.13636363636364,1.04347826086957,2.95652173913043,6.56521739130435,2.08695652173913,2.91304347826087,6.65217391304348
B_B_15_A_004.png,BB15A004,subsahariano,A,afligido,14.35,2.1095023109729,4.9047619047619,6.45,1.2,2.35,6.3,2.57142857142857,3.5,6.31578947368421
B_B_15_F_004.png,BB15F004,subsahariano,F,afligido,16.0869565217391,2.33380382984636,5.21739130434783,6.26086956521739,2.17391304347826,4.04347826086957,2.56521739130435,4.30434782608696,3.82608695652174,6.73913043478261
B_B_15_S_002.png,BB15S002,subsahariano,S,contento,12.35,2.0332758116684,5.76190476190476,6.1,6.1,1.2,1.15,5.85714285714286,4.38095238095238,6.47368421052632
B_B_15_S_003.png,BB15S003,subsahariano,S,contento,14.7619047619048,1.37494588638106,5.36363636363636,6.15,6.57142857142857,1.04761904761905,1.0,5.81818181818182,4.0,7.0
B_B_15_S_005.png,BB15S005,subsahariano,S,contento,12.952380952381,2.15583372448319,4.9047619047619,6.66666666666667,6.57142857142857,1.04761904761905,1.0,6.14285714285714,4.33333333333333,6.71428571428571
B_B_15_S_006.png,BB15S006,subsahariano,S,contento,14.2608695652174,2.11525608388092,5.04347826086957,6.47826086956522,6.39130434782609,1.08695652173913,1.08695652173913,5.82608695652174,3.95652173913043,6.52173913043478
B_B_15_S_008.png,BB15S008,subsahariano,S,contento,15.6842105263158,1.37649440322337,5.35,6.21052631578947,6.31578947368421,1.05263157894737,1.0,5.95,3.9,6.5
B_B_15_S_009.png,BB15S009,subsahariano,S,contento,15.0,1.97484176581315,5.27272727272727,6.33333333333333,6.38095238095238,1.14285714285714,1.19047619047619,5.77272727272727,3.81818181818182,6.9
B_B_15_S_010.png,BB15S010,subsahariano,S,contento,13.695652173913,2.03234711174265,6.04347826086957,6.5,6.18181818181818,1.36363636363636,1.36363636363636,5.8695652173913,4.30434782608696,6.04545454545455
W_B_15_A_001.png,WB15A001,no_racializado,A,afligido,14.6,2.01049875980014,4.47619047619048,6.6,1.65,3.3,6.2,2.04761904761905,4.28571428571429,6.55
W_B_15_A_002.png,WB15A002,no_racializado,A,afligido,14.7368421052632,1.8511889651776,4.55,6.0,1.0,2.15789473684211,6.73684210526316,2.33333333333333,3.25,6.77777777777778
W_B_15_A_004.png,WB15A004,no_racializado,A,afligido,14.1304347826087,1.9841267331702,5.69565217391304,6.54545454545455,1.40909090909091,3.13636363636364,5.90909090909091,2.26086956521739,3.39130434782609,6.63636363636364
W_B_15_F_003.png,WB15F003,no_racializado,F,afligido,16.1739130434783,1.46635521905795,5.69565217391304,5.69565217391304,1.47826086956522,4.82608695652174,3.30434782608696,2.8695652173913,3.21739130434783,6.95238095238095
W_B_15_S_002.png,WB15S002,no_racializado,S,contento,14.5652173913043,2.01868739883848,5.65217391304348,6.22727272727273,6.09090909090909,1.54545454545455,1.72727272727273,6.0,4.43478260869565,6.68181818181818
W_B_15_S_003.png,WB15S003,no_racializado,S,contento,12.8636363636364,1.93453463200436,5.09090909090909,5.59090909090909,6.72727272727273,1.13636363636364,1.09090909090909,5.72727272727273,3.68181818181818,6.86363636363636
W_B_15_S_004.png,WB15S004,no_racializado,S,contento,12.7727272727273,1.50970883922059,5.30434782608696,6.09090909090909,6.59090909090909,1.27272727272727,1.22727272727273,5.39130434782609,4.69565217391304,6.76190476190476
W_B_15_S_006.png,WB15S006,no_racializado,S,contento,13.25,1.51744244666721,4.3,6.25,6.4,1.4,1.1,5.25,5.1,6.36842105263158
W_B_15_S_008.png,WB15S008,no_racializado,S,contento,12.6666666666667,1.4939491483886,5.45833333333333,6.625,6.5,1.125,1.08333333333333,5.75,4.45833333333333,7.0
W_B_15_S_009.png,WB15S009,no_racializado,S,contento,13.6190476190476,1.85677652064513,5.19047619047619,6.42857142857143,6.04761904761905,1.04761904761905,1.0,6.19047619047619,4.42857142857143,6.95238095238095
W_B_15_S_010.png,WB15S010,no_racializado,S,contento,14.6521739130435,2.08039977915465,5.78260869565217,6.04347826086957,6.1304347826087,1.52173913043478,1.1304347826087,5.91304347826087,4.8695652173913,6.63636363636364
